"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.854519531E2,6.098952462E1,2.564357528E1,4.945039952E1,1.682729693E0,2.616192494E1,4.823781800E0,7.435811434E0
1.864519483E2,6.098953943E1,2.564358886E1,4.901308677E1,1.675414135E0,2.517470214E1,4.826599290E0,7.398551188E0
1.874519421E2,6.098955479E1,2.564360636E1,4.955043377E1,1.676976191E0,2.676896274E1,4.807633981E0,7.497795567E0
1.884519364E2,6.098956906E1,2.564361772E1,4.982308921E1,1.671680541E0,2.665419809E1,4.914727277E0,7.642939035E0
1.894519310E2,6.098958528E1,2.564363498E1,5.034747957E1,1.681523406E0,2.808599497E1,4.910943524E0,7.716867729E0
1.904519254E2,6.098959909E1,2.564364670E1,5.015084290E1,1.685493903E0,2.661091767E1,4.908369869E0,7.649719462E0
1.914519197E2,6.098961288E1,2.564365795E1,5.037550108E1,1.672793623E0,2.408399653E1,4.934529675E0,7.318324912E0
1.924519140E2,6.098962411E1,2.564367576E1,5.070132267E1,1.668094783E0,2.757044912E1,4.965175092E0,7.377261751E0
1.934519083E2,6.098963732E1,2.564369445E1,5.113106585E1,1.671153932E0,2.994528933E1,4.913743437E0,7.299599266E0
1.944519027E2,6.098965286E1,2.564370525E1,5.104166680E1,1.670311537E0,2.335187621E1,4.961442993E0,7.159219882E0
1.954518975E2,6.098966725E1,2.564372117E1,5.099662140E1,1.677050689E0,2.377794785E1,4.957671116E0,7.314652541E0
1.964518920E2,6.098968088E1,2.564373833E1,5.113046437E1,1.681555795E0,2.493564942E1,4.968682642E0,7.280876033E0
1.974518858E2,6.098969110E1,2.564375639E1,5.120995993E1,1.678628349E0,2.776453294E1,4.952975873E0,7.134459860E0
1.984518806E2,6.098970704E1,2.564376022E1,5.108752545E1,1.683040367E0,2.245214806E1,4.905921996E0,7.527716401E0
1.994518744E2,6.098972173E1,2.564376627E1,5.077809102E1,1.675949170E0,1.825633991E1,4.896613818E0,7.272059320E0
2.004518691E2,6.098973531E1,2.564378249E1,5.086125208E1,1.677798207E0,2.275210881E1,4.943218435E0,7.145940356E0
2.014518641E2,6.098974837E1,2.564379559E1,5.086271164E1,1.699782367E0,2.234497707E1,4.909598536E0,7.245293714E0
