"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.728252750E0,-5.865469929E-2,3.502979189E-2,1.150901610E-1
2.738237750E0,-9.077926554E-2,2.864814073E-2,1.105650008E-1
2.748223750E0,-4.854208600E-2,3.189071417E-2,8.049569428E-2
2.758208750E0,-3.333442826E-2,4.337961584E-2,3.403605759E-2
2.768193750E0,-4.633534681E-2,4.744284600E-2,1.877131641E-2
2.778179750E0,-4.352630787E-2,3.445559531E-2,3.381444812E-3
2.788164750E0,-4.683184851E-2,4.395001173E-2,1.858946800E-2
2.798149750E0,-4.632061914E-2,2.394844115E-2,5.375286877E-2
2.808135750E0,-6.430968773E-2,1.988316447E-2,1.096487421E-1
2.818120750E0,-4.917216003E-2,4.846873999E-2,1.375896621E-1
2.828105750E0,-5.084797204E-2,5.860518068E-2,1.513569313E-1
2.838090750E0,-5.399874419E-2,5.553159177E-2,1.204204828E-1
2.848076750E0,-4.000489533E-2,7.870001435E-2,1.013293236E-1
2.858061750E0,-5.374135707E-2,9.611243784E-2,1.020923853E-1
2.868046750E0,-4.901030179E-2,1.026002160E-1,1.027110207E-1
2.878032750E0,-4.104153357E-2,8.685307950E-2,7.706279397E-2
2.888017750E0,-4.107891921E-2,8.379293919E-2,8.327195227E-2
2.898002750E0,-9.519376718E-3,8.064742953E-2,9.919216633E-2
2.907988750E0,1.807867717E-2,7.159740150E-2,8.377188921E-2
2.917973750E0,3.446769174E-2,5.000275701E-2,7.438301504E-2
2.927958750E0,2.289499216E-2,4.417483717E-2,5.233433425E-2
2.937944750E0,-3.074995894E-3,4.898124844E-2,1.875669837E-2
2.947929750E0,-2.046311690E-2,3.984848231E-2,-1.145001769E-2
2.957914750E0,-5.095702261E-3,2.607828945E-2,-2.052840471E-2
2.967899750E0,-5.617822073E-3,2.599847496E-2,-5.547253489E-3
2.977885750E0,-3.407231033E-2,1.576877117E-2,2.567746282E-2
2.987870750E0,-2.276193146E-2,1.822284758E-2,6.671205282E-2
2.997855750E0,-1.796407174E-2,1.962764114E-2,7.775451958E-2
3.007841750E0,-3.541706029E-2,1.105006814E-2,7.484143674E-2
3.017826750E0,-6.100087630E-2,6.683367491E-4,5.266236305E-2
3.027811750E0,-4.975543806E-2,9.079848826E-3,3.887462854E-2
3.037797750E0,-1.304919463E-2,3.509498835E-3,3.518211186E-2
3.047782750E0,-2.460873798E-3,-1.113397568E-2,2.962491810E-2
3.057767750E0,-5.082728751E-3,-3.078003556E-2,3.037920892E-2
3.067752750E0,-1.014939593E-2,-3.356272548E-2,3.136271060E-2
3.077738750E0,-3.923478048E-2,-1.148393154E-2,6.682548881E-2
3.087723208E0,-3.820338646E-2,-2.917497486E-2,8.204754531E-2
3.097708208E0,-2.664285639E-2,-1.448969275E-2,8.225921452E-2
3.107694208E0,-3.041315932E-2,3.301337957E-3,7.649269044E-2
3.117679208E0,-2.888011074E-2,1.092259884E-2,4.214673042E-2
3.127664208E0,-5.002830204E-2,2.919280887E-2,2.684047401E-2
3.137650208E0,-4.500157865E-2,4.098167270E-2,3.467691243E-2
3.147635208E0,-3.276781479E-2,5.539827526E-2,6.048067510E-2
3.157620208E0,-4.877381846E-3,6.274267048E-2,1.049212682E-1
3.167605208E0,-9.337034952E-3,4.768872142E-2,1.328089786E-1
3.177591208E0,-4.078405509E-2,2.608150542E-2,1.550342453E-1
3.187576208E0,-7.059478674E-2,1.247620404E-2,1.497360831E-1
3.197561208E0,-7.895652439E-2,8.915249705E-3,1.131523937E-1
3.207547208E0,-6.153997131E-2,-8.309770525E-3,4.017095625E-2
3.217532208E0,-9.693294838E-2,-1.947122812E-3,2.135695517E-2
3.227517208E0,-1.411799621E-1,-1.895521134E-2,-3.032366037E-3
3.237503208E0,-1.399551714E-1,-8.693932593E-3,-3.369458020E-2
3.247488208E0,-1.208556070E-1,-1.037091404E-2,-1.483847916E-2
3.257473208E0,-7.748432340E-2,-1.854590625E-2,5.579939425E-2
3.267458208E0,-3.608048173E-2,1.363863051E-3,1.231049395E-1
3.277444208E0,1.000056602E-3,1.702241421E-2,1.673718703E-1
3.287429208E0,1.216502253E-2,3.044674426E-2,1.555341822E-1
3.297414208E0,5.193533488E-3,3.011637658E-2,1.616983169E-1
3.307400208E0,-2.316732623E-2,2.376951635E-2,1.464961410E-1
3.317385208E0,-4.899869872E-2,2.236618459E-2,1.328148258E-1
3.327370208E0,-4.925709084E-2,9.259943068E-3,1.150311041E-1
3.337356208E0,-5.764298480E-2,-2.845839858E-3,7.394096553E-2
3.347341208E0,-5.188640099E-2,-1.056942701E-2,6.715936482E-2
3.357326208E0,-3.284903627E-2,-1.116028816E-2,7.043731391E-2
3.367311208E0,-1.980387988E-2,2.915129364E-3,6.834050238E-2
3.377297208E0,-2.747401983E-2,1.330270797E-2,5.570583880E-2
3.387282208E0,-5.507015510E-2,9.101191163E-4,4.154388249E-2
3.397267208E0,-4.633660762E-2,-4.400614500E-3,7.022798359E-2
3.407253208E0,-5.676736426E-2,3.765372992E-2,9.445884526E-2
3.417238208E0,-7.807057986E-2,3.100778461E-2,1.119665784E-1
3.427223208E0,-8.120881705E-2,5.814763606E-3,7.622254908E-2
3.437209208E0,-7.977507977E-2,-1.205754340E-2,4.556208909E-2
3.447194208E0,-8.897994937E-2,2.119615674E-4,7.071622610E-3
3.457179208E0,-8.844628131E-2,9.025469720E-3,-2.320467532E-2
3.467164208E0,-9.223268235E-2,-3.266547024E-3,-4.960017622E-2
3.477150208E0,-8.517032392E-2,5.403119624E-3,-4.703441799E-2
3.487135208E0,-5.800821651E-2,1.764835864E-2,2.887355089E-3
3.497120208E0,-4.943502892E-2,2.108184367E-2,2.233168602E-2
3.507106208E0,-4.671654873E-2,5.634961724E-3,3.317066967E-2
3.517091208E0,-3.691316178E-2,7.065190673E-3,4.746301889E-2
3.527076208E0,-4.915845562E-2,-1.163332790E-2,5.296524882E-2
